match_id,date,team1,team2,venue,result,mom,team1_score,team2_score,status,match_type
IPL2026_013,08-Apr-2026,Rajasthan Royals,Mumbai Indians,Sawai Mansingh Stadium Jaipur,Rajasthan Royals won by 27 runs,Yashaswi Jaiswal,150/3,123/9,Completed,league
IPL2026_014,09-Apr-2026,Gujarat Titans,Delhi Capitals,Narendra Modi Stadium Ahmedabad,Gujarat Titans won by 1 run,Glen Phillips,210/4,209/8,Completed,league
IPL2026_015,10-Apr-2026,Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens Kolkata,Lucknow Super Giants won by 3 wickets,Rovman Powell,181/4,182/7,Completed,league
IPL2026_016,11-Apr-2026,Royal Challengers Bengaluru,Rajasthan Royals,M. Chinnaswamy Stadium Bengaluru,Rajasthan Royals won by 5 wickets,Vaibhav Suryavanshi,201/8,202/4,Completed,league
IPL2026_017,12-Apr-2026,Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi Stadium Hyderabad,Punjab Kings won by 6 wickets,Pat Cummins,219/6,223/4,Completed,league
IPL2026_018,13-Apr-2026,Chennai Super Kings,Delhi Capitals,M. A. Chidambaram Stadium Chennai,Chennai Super Kings won by 23 runs,Sarfaraz Khan,212/2,189/10,Completed,league
IPL2026_019,14-Apr-2026,Lucknow Super Giants,Gujarat Titans,Ekana Cricket Stadium Lucknow,Gujarat Titans won by 7 wickets,Sai Sudharshan,164/8,165/3,Completed,league
IPL2026_020,15-Apr-2026,Royal Challengers Bengaluru,Mumbai Indians,M. Chinnaswamy Stadium Bengaluru,Royal Challengers Bengaluru won by 18 runs,Phil Salt,240/4,222/5,Completed,league
IPL2026_021,16-Apr-2026,Sunrisers Hyderabad,Rajasthan Royals,Rajiv Gandhi Stadium Hyderabad,Sunrisers Hyderabad won by 57 runs,Abhishek Sharma,216/6,159/10,Completed,league
IPL2026_022,17-Apr-2026,Chennai Super Kings,Kolkata Knight Riders,M. A. Chidambaram Stadium Chennai,Chennai Super Kings won by 32 runs,Sanju Samson,192/5,160/7,Completed,league
IPL2026_023,18-Apr-2026,Lucknow Super Giants,Royal Challengers Bengaluru,Ekana Cricket Stadium Lucknow,Royal Challengers Bengaluru won by 5 wickets,Virat Kohli,146/10,149/5,Completed,league
IPL2026_024,19-Apr-2026,Mumbai Indians,Punjab Kings,Wankhede Stadium Mumbai,Punjab Kings won by 7 wickets,Shreyas Iyer,195/6,198/3,Completed,league
IPL2026_025,20-Apr-2026,Kolkata Knight Riders,Gujarat Titans,Eden Gardens Kolkata,Gujarat Titans won by 5 wickets,Shubman Gill,180/10,181/5,Completed,league
IPL2026_026,21-Apr-2026,Royal Challengers Bengaluru,Delhi Capitals,M. Chinnaswamy Stadium Bengaluru,Delhi Capitals won by 6 wickets,KL Rahul,175/8,179/4,Completed,league
IPL2026_027,22-Apr-2026,Sunrisers Hyderabad,Chennai Super Kings,Rajiv Gandhi Stadium Hyderabad,Sunrisers Hyderabad won by 10 runs,Heinrich Klaasen,194/9,184/8,Completed,league
IPL2026_028,23-Apr-2026,Rajasthan Royals,Kolkata Knight Riders,Sawai Mansingh Stadium Jaipur,Kolkata Knight Riders won by 4 wickets,Dhruv Jurel,155/9,161/6,Completed,league
IPL2026_029,24-Apr-2026,Punjab Kings,Lucknow Super Giants,Maharaja Yadavindra Singh Stadium Mullanpur,Punjab Kings won by 54 runs,Priyansh Arya,254/7,200/5,Completed,league
IPL2026_030,25-Apr-2026,Mumbai Indians,Gujarat Titans,Wankhede Stadium Mumbai,Mumbai Indians won by 99 runs,Tilak Varma,199/5,100/10,Completed,league
IPL2026_031,26-Apr-2026,Sunrisers Hyderabad,Delhi Capitals,Rajiv Gandhi Stadium Hyderabad,Sunrisers Hyderabad won by 47 runs,Heinrich Klaasen,242/2,195/9,Completed,league
IPL2026_032,27-Apr-2026,Rajasthan Royals,Lucknow Super Giants,Sawai Mansingh Stadium Jaipur,Rajasthan Royals won by 40 runs,Dhruv Jurel,159/6,119/10,Completed,league
IPL2026_033,28-Apr-2026,Chennai Super Kings,Mumbai Indians,M. A. Chidambaram Stadium Chennai,Chennai Super Kings won by 103 runs,Cameron Green,207/6,104,Completed,league
IPL2026_034,29-Apr-2026,Gujarat Titans,Royal Challengers Bengaluru,Narendra Modi Stadium Ahmedabad,Royal Challengers Bengaluru won by 4 wickets,Kagiso Rabada,205/3,206/5,Completed,league
IPL2026_035,30-Apr-2026,Delhi Capitals,Punjab Kings,Arun Jaitley Stadium Delhi,Punjab Kings won by 6 wickets,Jofra Archer,228/6,229/5,Completed,league
IPL2026_036,01-May-2026,Rajasthan Royals,Sunrisers Hyderabad,Sawai Mansingh Stadium Jaipur,Sunrisers Hyderabad won by 5 wickets,Sanju Samson,264/2,265/4,Completed,league
IPL2026_037,02-May-2026,Chennai Super Kings,Gujarat Titans,M. A. Chidambaram Stadium Chennai,Gujarat Titans won by 32 runs (D/L),Bhuvaneshwar Kumar, 228/6,229/5,Completed,league
IPL2026_038,03-May-2026,Kolkata Knight Riders,Lucknow Super Giants,Eden Gardens Kolkata,Kolkata Knight Riders won (Super Over),Rovman Powell,155/7,155/8,Completed,league
IPL2026_039,04-May-2026,Delhi Capitals,Royal Challengers Bengaluru,Arun Jaitley Stadium Delhi,Royal Challengers Bengaluru won by 9 wickets,Hardik Pandya,75/10,77/1,Completed,league
IPL2026_040,05-May-2026,Punjab Kings,Rajasthan Royals,Maharaja Yadavindra Singh Stadium Mullanpur,Rajasthan Royals won by 6 wickets,Sanju Samson,158/7,162/2,Completed,league
IPL2026_041,06-May-2026,Mumbai Indians,Sunrisers Hyderabad,Wankhede Stadium Mumbai,Sunrisers Hyderabad won by 6 wickets,Pat Cummins,155/10,158/6,Completed,league
IPL2026_042,07-May-2026,Royal Challengers Bengaluru,Gujarat Titans,M. Chinnaswamy Stadium Bengaluru,Gujarat Titans won by 4 wickets,Vaibhav Suryavanshi,222/4,228/4,Completed,league
IPL2026_043,08-May-2026,Rajasthan Royals,Delhi Capitals,Sawai Mansingh Stadium Jaipur,Delhi Capitals won by 7 wickets,KL Rahul,225/6,226/3,Completed,league
IPL2026_044,02-May-2026,Mumbai Indians,Chennai Super Kings,M. A. Chidambaram Stadium Chennai,Chennai Super Kings won by 8 wickets,Ruturaj Gaikwad,159/7,160/2,Completed,league
IPL2026_045,03-May-2026,Sunrisers Hyderabad,Kolkata Knight Riders,Rajiv Gandhi Stadium Hyderabad,Kolkata Knight Riders won by 65 runs,Jos Buttler,226/3,161/10,Completed,league
IPL2026_046,04-May-2026,Gujarat Titans,Punjab Kings,Narendra Modi Stadium Ahmedabad,Gujarat Titans won by 3 wickets,Krunal Pandya,155/10,158/6,Completed,league
IPL2026_047,05-May-2026,Mumbai Indians,Lucknow Super Giants,Wankhede Stadium Mumbai,Mumbai Indians won by 5 wickets,Sanju Samson,225/6,226/3,Completed,league
IPL2026_048,06-May-2026,Delhi Capitals,Chennai Super Kings,Arun Jaitley Stadium Delhi,Chennai Super Kings won by 6 wickets,Madhav Tiwari,158/7,162/2,Completed,league
IPL2026_049,07-May-2026,Sunrisers Hyderabad,Punjab Kings,Rajiv Gandhi Stadium Hyderabad,Sunrisers Hyderabad won by 6 wickets,Pat Cummins,158/7,162/2,Completed,league
IPL2026_050,08-May-2026,Lucknow Super Giants,Royal Challengers Bengaluru,Ekana Cricket Stadium Lucknow,Lucknow Super Giants won by 5 wickets,Kagiso Rabada,155/10,158/6,Completed,league
IPL2026_051,08-May-2026,Delhi Capitals,Kolkata Knight Riders,Arun Jaitley Stadium Delhi,Kolkata Knight Riders won by 8 wickets,Finn Allen,142/8,147/2,Completed,league
IPL2026_052,09-May-2026,Rajasthan Royals,Gujarat Titans,Sawai Mansingh Stadium Jaipur,Gujarat Titans won by 77 runs,Rashid Khan,229/4,152,Completed,league
IPL2026_053,10-May-2026,Chennai Super Kings,Lucknow Super Giants,M.A.Chidambaram Stadium Chennai,Chennai Super Kings won by 5 wickets,Urvil Patel,203/8,207/5,Completed,league
IPL2026_054,10-May-2026,Royal Challengers Bengaluru,Mumbai Indians,Nava Raipur Cricket Stadium Raipur,Royal Challengers Bengaluru won by 2 wickets,Krunal Pandya,166/7,167/8,Completed,league
IPL2026_055,11-May-2026,Punjab Kings,Delhi Capitals,HPCA Cricket Stadium Dharamshala,Delhi Capitals won by 5 wickets,Madhav Tiwari,210/5,211/5,Completed,league
IPL2026_056,12-May-2026,Gujarat Titans,Sunrisers Hyderabad,Narendra Modi Stadium Ahmedabad,Gujarat Titans won by 99 runs,Kagiso Rabada,199/5,86,Completed,league
IPL2026_057,13-May-2026,Royal Challengers Bengaluru,Kolkata Knight Riders,Nava Raipur Cricket Stadium Raipur,Royal Challengers Bengaluru won by 5 wickets,Virat Kohli,228/6,192/5,Completed,league
IPL2026_058,14-May-2026,Punjab Kings,Mumbai Indians,HPCA Cricket Stadium Dharamshala,Mumbai Indians won by 7 wickets,Tilak Varma,200/8,205/4,Completed,league
IPL2026_059,15-May-2026,Lucknow Super Giants,Chennai Super Kings,Ekana Cricket Stadium Lucknow,Lucknow Super Giants won by 40 runs,Sanju Samson,104/10,207/6,Completed,league
IPL2026_060,16-May-2026,Kolkata Knight Riders,Gujarat Titans,Eden Gardens Kolkata,Kolkata Knight Riders won by 1 run,Shubman Gill,180/7,181/5,Completed,league
IPL2026_061,17-May-2026,Punjab Kings,Royal Challengers Bengaluru,Mullanpur,Royal Challengers Bengaluru won by 6 wickets,Cooper Connolly,197/10,226/3,Completed,league
IPL2026_062,17-May-2026,Delhi Capitals,Rajasthan Royals,Arun Jaitley Stadium Delhi,Delhi Capitals won by 7 wickets,Mitchell Starc,193/8,194/3,Completed,league
IPL2026_063,18-May-2026,Chennai Super Kings,Sunrisers Hyderabad,M.A.Chidambaram Stadium Chennai,Sunrisers Hyderabad won by 5 wickets,Ishan Kishan,180/7,181/5,Completed,league
IPL2026_064,20-May-2026,Rajasthan Royals,Lucknow Super Giants,Sawai Mansingh Stadium Jaipur,Rajasthan Royals won by 7 wickets,Vaibhav Sooryavanshi,220/5,225/3,Completed,league
IPL2026_065,21-May-2026,Mumbai Indians,Kolkata Knight Riders,Eden Gardens Kolkata,Kolkata Knight Riders won by 4 wickets,Manish Pandey,147/8,148/6,Completed,league
IPL_2026_066,21-May-2026,Gujarat Titans,Chennai Super Kings,Narendra Modi Stadium Ahmedabad,,Mohammad Siraj,229/4,140/10,Completed,league
IPL_2026_067,22-May-2026,Sunrisers Hyderabad,Royal Challengers Bengaluru,Rajiv Gandhi International Stadium Hyderabad,Sunrisers Hyderabad won by 55 runs,Ishan Kishan,255/4,200/4,Completed,league
IPL_2026_068,23-May-2026,Lucknow Super Giants,Punjab Kings,Ekana Cricket Stadium Lucknow,Punjab Kings won by 7 wickets,Shreyas Iyer,196/6,200/3,Completed,league
IPL_2026_069,24-May-2026,Rajasthan Royals,Mumbai Indians,Wankhede Stadium Mumbai,Rajasthan Royals won by 30 runs,Jafra Archer,205/8,175/9,Completed,league
IPL_2026_070,24-May-2026,Delhi Capitals,Kolkata Knight Riders,Eden Gardens,,Kuldeep Yadav,203/5,163/10,Completed,league
IPL_2026_071,26-May-2026,Royal Challengers Bengaluru,Gujarat Titans,HPCA Cricket Stadium Dharamshala,Royal Challengers Bengaluru won by 5 wickets,Rajath Patidar,254/5,162/10,Completed,Qualifier1
IPL_2026_072,27-May-2026,Rajasthan Royals,Sunrisers Hyderabad,PCA Stadium Mohali,Rajasthan Royals won by 47 runs,Vaibhav Sooryavanshi,243/8,196/10,Completed,Eliminator
IPL_2026_073,29-May-2026,Rajasthan Royals,Gujarat Titans,PCA Stadium Mohali,Gujarat Titans won by 3 wickets,Shubman Gill,214/6,219/3,Completed,Qualifier2
IPL_2026_074,31-May-2026,Gujarat Titans,Royal Challengers Bengaluru,Narendra Modi Stadium Ahmedabad,Royal Challengers Bengaluru won by 5 wickets,Virat Kohli,155/8,161/5,Completed,final
