Player,Team,Role,Matches,Runs,Batting_Avg,Strike_Rate,Wickets,Bowling_Avg,Economy,Best_Bowling
Pat Cummins,Sunrisers Hyderabad,BWL,11,8,1.60,80.00,12,24.67,9.14,3/22
Axar Patel,Delhi Capitals,ALL,13,214,23.78,145.58,11,28.09,8.67,3/19
Jamie Overton,Chennai Super Kings,ALL,12,134,22.33,148.50,11,27.36,9.84,4/18
Prasidh Krishna,Gujarat Titans,BWL,11,8,1.33,80.00,11,28.45,8.91,3/23
Varun Chakravarthy,Kolkata Knight Riders,BWL,13,6,1.50,85.71,11,29.73,8.46,3/21
Trent Boult,Mumbai Indians,BWL,10,4,1.00,66.67,11,25.09,8.67,3/21
Harshal Patel,Sunrisers Hyderabad,ALL,11,48,8.00,138.46,10,27.30,9.87,3/23
Kuldeep Yadav,Delhi Capitals,BWL,11,6,1.50,75.00,10,27.30,8.47,3/22
T Natarajan,Delhi Capitals,BWL,9,4,1.33,57.14,10,26.40,9.14,3/21
Matheesha Pathirana,Kolkata Knight Riders,BWL,10,4,1.00,66.67,10,25.30,9.24,3/21
Marco Jansen,Punjab Kings,ALL,10,78,13.00,148.57,9,26.78,9.47,3/23
Khaleel Ahmed,Chennai Super Kings,BWL,10,6,2.00,75.00,9,28.44,9.12,3/24
Sai Kishore,Gujarat Titans,BWL,11,6,1.50,75.00,9,27.44,8.12,3/21
Mohammad Shami,Lucknow Super Giants,BWL,8,4,1.00,66.67,9,26.22,9.14,3/22
Hardik Pandya,Mumbai Indians,ALL,12,276,27.60,158.62,8,32.63,9.28,3/22
Washington Sundar,Gujarat Titans,ALL,12,134,16.75,142.55,8,28.63,8.34,3/22
Ravindra Jadeja,Rajasthan Royals,ALL,12,134,16.75,142.55,8,27.63,8.34,3/22
Wanindu Hasaranga,Lucknow Super Giants,ALL,10,98,14.00,158.33,8,26.75,8.47,3/21
Noor Ahmad,Chennai Super Kings,BWL,8,4,2.00,66.67,8,27.38,8.47,3/21
Deepak Chahar,Mumbai Indians,BWL,8,4,1.00,66.67,8,27.63,9.38,3/23
Vyshak Vijaykumar,Punjab Kings,BWL,9,4,1.00,66.67,8,27.63,9.56,2/23
Tushar Deshpande,Rajasthan Royals,BWL,9,4,1.00,66.67,8,28.63,9.67,2/23
Mukesh Kumar,Delhi Capitals,BWL,8,2,0.67,40.00,8,27.63,9.42,2/23
Vaibhav Arora,Kolkata Knight Riders,BWL,9,2,0.50,40.00,8,27.25,9.83,2/22
Anrich Nortje,Lucknow Super Giants,BWL,9,2,0.50,40.00,8,26.38,9.62,3/22
Lockie Ferguson,Punjab Kings,BWL,8,2,0.50,40.00,8,25.63,9.24,3/22
Rasikh Dar,Royal Challengers Bengaluru,BWL,9,2,0.50,40.00,8,26.75,9.47,2/22
Mitchell Marsh,Lucknow Super Giants,ALL,13,563,48.10,158.76,7,32.14,9.12,3/28
Krunal Pandya,Royal Challengers Bengaluru,ALL,12,168,18.67,148.67,7,28.86,9.12,3/22
Jason Holder,Gujarat Titans,ALL,9,78,13.00,148.57,7,26.43,9.12,3/23
Shardul Thakur,Mumbai Indians,ALL,9,78,13.00,148.57,7,27.43,9.83,3/23
Mitchell Santner,Mumbai Indians,ALL,9,68,11.33,142.55,7,27.86,8.34,3/21
Vicky Ostwal,Royal Challengers Bengaluru,BWL,8,4,1.00,66.67,7,27.71,8.67,3/22
Matt Henry,Chennai Super Kings,BWL,6,2,1.00,50.00,7,24.57,8.67,3/19
Lungisani Ngidi,Delhi Capitals,BWL,7,2,0.67,50.00,7,26.57,9.57,3/23
Blessing Muzarabani,Kolkata Knight Riders,BWL,8,2,0.50,50.00,7,27.14,9.57,3/23
Mayank Yadav,Lucknow Super Giants,BWL,7,2,0.50,50.00,7,25.71,8.94,3/21
Mangesh Yadav,Royal Challengers Bengaluru,BWL,7,2,0.50,50.00,7,26.14,9.12,2/22
Yash Dayal,Royal Challengers Bengaluru,BWL,8,2,0.50,50.00,7,27.14,9.43,2/23
Liam Livingstone,Sunrisers Hyderabad,ALL,12,318,31.80,172.28,6,34.17,10.12,2/24
Cameron Green,Kolkata Knight Riders,ALL,11,198,24.75,162.30,6,30.17,9.47,2/24
Romario Shepherd,Royal Challengers Bengaluru,ALL,9,78,13.00,162.50,6,29.83,9.78,2/23
Harpreet Brar,Punjab Kings,ALL,9,68,11.33,138.46,6,29.83,9.12,2/22
Yudhvir Singh Charak,Rajasthan Royals,ALL,8,48,9.60,138.46,6,29.83,9.47,2/22
Brydon Carse,Sunrisers Hyderabad,ALL,8,48,9.60,152.94,6,29.83,9.47,2/22
Jayant Yadav,Gujarat Titans,ALL,8,28,5.60,112.00,6,29.83,8.67,2/22
Rahul Chahar,Chennai Super Kings,BWL,7,4,2.00,80.00,6,30.17,8.92,2/22
Mukesh Choudhary,Chennai Super Kings,BWL,7,2,1.00,50.00,6,29.17,9.56,2/24
Dushmantha Chameera,Delhi Capitals,BWL,6,2,0.67,50.00,6,28.83,9.64,2/24
Gurnoor Singh Brar,Gujarat Titans,BWL,7,2,0.67,50.00,6,28.67,9.47,2/21
M Siddharth,Lucknow Super Giants,BWL,7,2,0.50,50.00,6,29.83,8.87,2/22
Allah Ghazanfar,Mumbai Indians,BWL,7,2,0.50,50.00,6,28.83,9.14,2/22
Ben Dwarshuis,Punjab Kings,BWL,7,2,0.50,50.00,6,28.83,9.47,2/22
Yash Thakur,Punjab Kings,BWL,7,2,0.50,50.00,6,29.83,9.67,2/22
Kwena Maphaka,Rajasthan Royals,BWL,7,2,0.50,50.00,6,29.83,9.83,2/22
Suyash Sharma,Royal Challengers Bengaluru,BWL,7,2,0.50,50.00,6,28.83,9.14,2/21
Jaydev Unadkat,Sunrisers Hyderabad,BWL,7,2,0.50,50.00,6,28.83,9.47,2/21
Glenn Maxwell,Royal Challengers Bengaluru,ALL,12,276,25.09,168.29,5,37.60,9.87,2/26
Nitish Kumar Reddy,Sunrisers Hyderabad,ALL,12,234,26.00,168.56,5,31.40,9.83,2/24
Marcus Stoinis,Punjab Kings,ALL,10,198,28.28,172.34,5,32.40,9.87,2/24
Venkatesh Iyer,Royal Challengers Bengaluru,ALL,11,178,22.25,158.93,5,30.40,9.67,2/24
Azmatullah Omarzai,Punjab Kings,ALL,8,98,16.33,162.50,5,31.40,9.78,2/23
Kamindu Mendis,Sunrisers Hyderabad,ALL,9,98,16.33,148.57,5,30.40,9.12,2/22
Shahbaz Ahamad,Lucknow Super Giants,ALL,8,78,13.00,148.57,5,30.40,9.67,2/22
Anukul Roy,Kolkata Knight Riders,ALL,6,28,7.00,122.22,5,31.40,9.12,2/22
Shreyas Gopal,Chennai Super Kings,BWL,6,4,2.00,80.00,5,32.40,8.78,2/22
Kyle Jamieson,Delhi Capitals,BWL,6,4,1.33,66.67,5,29.40,8.78,2/21
Spencer Johnson,Chennai Super Kings,BWL,5,2,1.00,50.00,5,28.40,9.47,2/20
Manav Suthar,Gujarat Titans,BWL,6,2,0.50,50.00,5,31.40,9.12,2/22
Mayank Markande,Mumbai Indians,BWL,6,2,0.50,50.00,5,30.40,9.12,2/22
Sandeep Sharma,Rajasthan Royals,BWL,6,2,0.50,50.00,5,29.40,9.47,2/21
Shivam Mavi,Sunrisers Hyderabad,BWL,6,2,0.50,50.00,5,29.40,9.67,2/22
Digvesh Singh,Lucknow Super Giants,BWL,6,0,0.00,0.00,5,28.40,9.33,2/21
Mohsin Khan,Lucknow Super Giants,BWL,6,0,0.00,0.00,5,28.80,9.13,2/22
Xavier Bartlett,Punjab Kings,BWL,6,0,0.00,0.00,5,28.40,9.47,2/21
Nuwan Thushara,Royal Challengers Bengaluru,BWL,6,0,0.00,0.00,5,29.40,9.57,2/22
Zeeshan Ansari,Sunrisers Hyderabad,BWL,6,0,0.00,0.00,5,29.40,9.67,2/22
Abdul Samad,Lucknow Super Giants,ALL,14,312,28.36,176.27,4,38.50,10.24,2/28
Shivam Dube,Chennai Super Kings,ALL,11,248,27.55,163.15,4,36.25,10.28,2/22
Jacob Bethell,Royal Challengers Bengaluru,ALL,10,134,18.14,158.33,4,32.25,9.47,2/22
Will Jacks,Mumbai Indians,ALL,8,112,18.67,168.56,4,29.75,9.47,2/22
Dasun Shanaka,Rajasthan Royals,ALL,7,68,13.60,152.94,4,32.25,9.87,2/24
Corbin Bosch,Mumbai Indians,ALL,6,48,12.00,152.94,4,31.75,9.87,2/23
Swapnil Singh,Royal Challengers Bengaluru,ALL,6,28,7.00,122.22,4,31.25,9.67,2/22
Madhav Tiwari,Delhi Capitals,ALL,6,18,4.50,105.88,4,27.75,8.94,2/19
Akeal Hosein,Chennai Super Kings,BWL,5,2,1.00,66.67,4,31.25,8.92,2/21
Adam Milne,Rajasthan Royals,BWL,5,2,0.50,50.00,4,30.25,9.87,2/23
Auqib Nabi,Delhi Capitals,BWL,5,0,0.00,0.00,4,31.25,9.87,2/22
Ishant Sharma,Gujarat Titans,BWL,5,0,0.00,0.00,4,32.75,9.67,2/23
Prashant Solanki,Kolkata Knight Riders,BWL,6,0,0.00,0.00,4,31.75,9.87,2/23
Saurabh Dubey,Kolkata Knight Riders,BWL,5,0,0.00,0.00,4,30.25,9.67,2/21
Akash Singh,Lucknow Super Giants,BWL,5,0,0.00,0.00,4,30.75,9.78,2/23
Naman Tiwari,Lucknow Super Giants,BWL,5,0,0.00,0.00,4,29.25,9.57,2/23
Pravin Dubey,Punjab Kings,BWL,5,0,0.00,0.00,4,30.75,9.83,2/23
Sushant Mishra,Rajasthan Royals,BWL,5,0,0.00,0.00,4,30.75,9.78,2/23
Nandre Burger,Rajasthan Royals,BWL,5,0,0.00,0.00,4,28.75,9.57,2/22
Praful Hinge,Sunrisers Hyderabad,BWL,5,0,0.00,0.00,4,29.75,9.57,2/23
David Payne,Sunrisers Hyderabad,BWL,5,0,0.00,0.00,4,30.25,9.83,2/23
Riyan Parag,Rajasthan Royals,ALL,12,278,30.88,162.57,3,34.33,9.78,2/24
Matthew Short,Chennai Super Kings,ALL,9,156,22.28,162.50,3,34.67,9.14,2/24
Rachin Ravindra,Kolkata Knight Riders,ALL,9,156,22.28,152.94,3,34.67,9.14,2/23
Naman Dhir,Mumbai Indians,ALL,7,78,15.60,162.50,3,34.33,10.12,2/24
Nishant Sindhu,Gujarat Titans,ALL,7,68,13.60,148.26,3,34.33,9.78,2/24
Ramandeep Singh,Kolkata Knight Riders,ALL,7,68,13.60,158.14,3,32.33,9.78,2/22
Vipraj Nigam,Delhi Capitals,ALL,5,32,8.00,132.08,3,31.33,9.12,2/21
Mohd Arshad Khan,Gujarat Titans,ALL,5,22,7.33,122.22,3,32.33,9.67,2/23
Atharva Ankolekar,Mumbai Indians,ALL,5,22,7.33,122.22,3,33.67,9.78,2/23
Harsh Dubey,Sunrisers Hyderabad,ALL,5,22,7.33,122.22,3,33.67,9.78,2/23
Gurjapneet Singh,Chennai Super Kings,BWL,4,0,0.00,0.00,3,28.67,9.33,2/19
Ashok Sharma,Gujarat Titans,BWL,4,0,0.00,0.00,3,34.33,10.12,1/24
Navdeep Saini,Kolkata Knight Riders,BWL,5,0,0.00,0.00,3,32.67,10.12,1/24
Umran Malik,Kolkata Knight Riders,BWL,4,0,0.00,0.00,3,29.33,9.92,2/22
Ashwani Kumar,Mumbai Indians,BWL,4,0,0.00,0.00,3,31.33,9.67,1/24
Yash Raj Punja,Rajasthan Royals,BWL,4,0,0.00,0.00,3,31.33,9.67,1/24
Brijesh Sharma,Rajasthan Royals,BWL,4,0,0.00,0.00,3,32.67,9.92,1/24
Kuldeep Sen,Rajasthan Royals,BWL,4,0,0.00,0.00,3,31.33,9.67,2/22
Onkar Tarmale,Sunrisers Hyderabad,BWL,4,0,0.00,0.00,3,31.33,9.92,1/24
Abhishek Sharma,Sunrisers Hyderabad,ALL,14,563,43.31,193.81,2,42.00,10.50,1/28
Aiden Markram,Lucknow Super Giants,BAT,11,248,27.55,152.45,2,36.50,9.47,1/22
Priyansh Arya,Punjab Kings,ALL,11,234,26.00,182.47,2,38.50,10.34,1/28
Rahul Tewatia,Gujarat Titans,ALL,12,198,22.00,162.30,2,38.50,10.34,1/28
Tim David,Royal Challengers Bengaluru,ALL,11,198,24.75,178.38,2,38.50,10.24,1/28
Glenn Phillips,Gujarat Titans,BAT,9,178,25.42,172.81,2,38.50,10.24,1/26
Sameer Rizvi,Delhi Capitals,ALL,8,134,22.33,162.19,2,38.50,10.12,1/24
Ayush Badoni,Lucknow Super Giants,ALL,9,134,18.14,162.19,2,38.50,9.87,1/28
Nitish Rana,Delhi Capitals,ALL,8,112,16.00,148.67,2,36.50,9.83,1/24
Musheer Khan,Punjab Kings,ALL,7,78,15.60,148.57,2,36.50,9.83,1/26
Ramakrishna Ghosh,Chennai Super Kings,ALL,5,32,10.67,142.86,2,38.50,9.62,1/18
Arshin Kulkarni,Lucknow Super Giants,ALL,5,32,8.00,138.46,2,36.50,10.12,1/26
Raj Angad Bawa,Mumbai Indians,ALL,5,32,8.00,138.46,2,36.50,10.17,1/26
Aman Khan,Chennai Super Kings,ALL,4,22,7.33,122.22,2,36.50,9.87,1/28
Ajay Mandal,Delhi Capitals,ALL,4,18,6.00,112.50,2,34.50,9.87,1/22
Daksh Kamra,Kolkata Knight Riders,ALL,4,12,4.00,109.09,2,36.50,9.83,1/24
Zak Foulkes,Chennai Super Kings,ALL,3,8,4.00,88.89,2,31.00,9.67,1/19
Luke Wood,Gujarat Titans,BWL,3,0,0.00,0.00,2,36.50,9.83,1/22
Kulwant Khejroliya,Gujarat Titans,BWL,3,0,0.00,0.00,2,38.50,10.17,1/26
Arjun Tendulkar,Lucknow Super Giants,BWL,4,0,0.00,0.00,2,36.50,10.25,1/26
Raghu Sharma,Mumbai Indians,BWL,3,0,0.00,0.00,2,34.50,9.83,1/26
Vishal Nishad,Punjab Kings,BWL,3,0,0.00,0.00,2,34.50,10.25,1/26
Vignesh Puthur,Rajasthan Royals,BWL,3,0,0.00,0.00,2,34.50,10.17,1/26
Amit Kumar,Sunrisers Hyderabad,BWL,3,0,0.00,0.00,2,34.50,10.17,1/26
Ashutosh Sharma,Delhi Capitals,ALL,9,156,26.00,178.16,1,42.00,10.56,1/28
Prashant Veer,Chennai Super Kings,ALL,3,12,6.00,100.00,1,42.00,9.33,1/22
Tripurana Vijay,Delhi Capitals,ALL,3,12,6.00,109.09,1,38.00,9.47,1/26
Satvik Deswal,Royal Challengers Bengaluru,ALL,3,12,6.00,109.09,1,38.00,10.00,1/26
Sarthak Ranjan,Kolkata Knight Riders,ALL,3,8,4.00,100.00,1,42.00,10.50,1/28
Vaibhav Sooryavanshi,Rajasthan Royals,BAT,13,776,49.46,187.37,0,-,-,-
Shubman Gill,Gujarat Titans,BAT,13,3,53.56,149.10,0,-,-,-
Sai Sudharshan,Gujarat Titans,BAT,14,722,52.33,148.26,0,-,-,-
Virat Kohli,Royal Challengers Bengaluru,BAT,14,675,47.18,143.52,0,-,-,-
Heinrich Klaasen,Sunrisers Hyderabad,WK-BAT,14,624,47.38,172.44,0,-,-,-
Cooper Connolly,Punjab Kings,BAT,13,580,41.13,164.23,0,-,-,-
Ishan Kishan,Sunrisers Hyderabad,WK-BAT,14,569,45.52,163.21,0,-,-,-
Sanju Samson,Chennai Super Kings,WK-BAT,14,555,38.62,152.40,0,-,-,-
KL Rahul,Delhi Capitals,WK-BAT,13,533,47.52,141.37,0,-,-,-
Travis Head,Sunrisers Hyderabad,BAT,14,468,37.44,177.27,0,-,-,-
Ruturaj Gaikwad,Chennai Super Kings,BAT,14,452,36.42,137.80,0,-,-,-
Rinku Singh,Kolkata Knight Riders,BAT,13,438,42.12,168.46,0,-,-,-
Shreyas Iyer,Punjab Kings,BAT,13,421,37.22,148.41,0,-,-,-
Yashasvi Jaiswal,Rajasthan Royals,BAT,12,418,38.91,173.24,0,-,-,-
Jos Buttler,Gujarat Titans,WK-BAT,12,398,39.80,162.45,0,-,-,-
Rohit Sharma,Mumbai Indians,BAT,13,389,33.22,152.16,0,-,-,-
Rishabh Pant,Delhi Capitals,WK-BAT,13,368,32.17,151.44,0,-,-,-
Rishabh Pant,Lucknow Super Giants,WK-BAT,13,368,32.17,151.44,0,-,-,-
Nicholas Pooran,Lucknow Super Giants,WK-BAT,13,342,34.20,185.32,0,-,-,-
Suryakumar Yadav,Mumbai Indians,BAT,13,342,31.09,178.12,0,-,-,-
Rajat Patidar,Royal Challengers Bengaluru,BAT,14,342,28.50,148.70,0,-,-,-
Tilak Varma,Mumbai Indians,BAT,13,334,29.57,157.08,0,-,-,-
Dhruv Jurel,Rajasthan Royals,WK-BAT,13,298,29.80,148.50,0,-,-,-
Phil Salt,Royal Challengers Bengaluru,WK-BAT,12,298,29.80,178.44,0,-,-,-
David Miller,Delhi Capitals,BAT,11,234,29.25,158.37,0,-,-,-
Prabhsimran Singh,Punjab Kings,WK-BAT,11,234,26.00,172.34,0,-,-,-
Dewald Brevis,Chennai Super Kings,BAT,10,198,24.75,158.40,0,-,-,-
Tristan Stubbs,Delhi Capitals,BAT,9,198,28.28,174.33,0,-,-,-
Finn Allen,Kolkata Knight Riders,WK-BAT,9,198,28.28,192.23,0,-,-,-
Quinton de Kock,Mumbai Indians,WK-BAT,10,198,24.75,162.30,0,-,-,-
Shashank Singh,Punjab Kings,BAT,10,198,28.28,168.56,0,-,-,-
Shimron Hetmyer,Rajasthan Royals,BAT,10,198,28.28,172.34,0,-,-,-
Devdutt Padikkal,Royal Challengers Bengaluru,BAT,11,198,22.00,142.45,0,-,-,-
MS Dhoni,Chennai Super Kings,WK-BAT,14,187,23.38,162.61,0,-,-,-
Karun Nair,Delhi Capitals,BAT,9,187,26.71,143.84,0,-,-,-
Ajinkya Rahane,Kolkata Knight Riders,BAT,11,178,19.78,138.57,0,-,-,-
Rovman Powell,Kolkata Knight Riders,BAT,10,178,25.42,182.47,0,-,-,-
Nehal Wadhera,Punjab Kings,BAT,10,178,22.25,162.19,0,-,-,-
Pathum Nissanka,Delhi Capitals,BAT,8,162,23.14,148.62,0,-,-,-
Ryan Rickelton,Mumbai Indians,WK-BAT,8,156,22.28,158.33,0,-,-,-
Ayush Mhatre,Chennai Super Kings,BAT,8,142,20.28,163.21,0,-,-,-
Shahrukh Khan,Gujarat Titans,BAT,10,134,18.14,172.34,0,-,-,-
Angkrish Raghuvanshi,Kolkata Knight Riders,BAT,8,134,22.33,158.33,0,-,-,-
Sherfane Rutherford,Mumbai Indians,BAT,9,134,18.14,172.34,0,-,-,-
Jitesh Sharma,Royal Challengers Bengaluru,WK-BAT,9,134,18.14,162.34,0,-,-,-
Sarfaraz Khan,Chennai Super Kings,BAT,7,112,18.67,148.22,0,-,-,-
Prithvi Shaw,Delhi Capitals,BAT,7,112,18.67,168.56,0,-,-,-
Josh Inglis,Lucknow Super Giants,WK-BAT,7,112,18.67,162.32,0,-,-,-
Shubham Dubey,Rajasthan Royals,BAT,8,112,18.67,152.94,0,-,-,-
Tom Banton,Gujarat Titans,WK-BAT,6,98,19.60,168.96,0,-,-,-
Rahul Tripathi,Kolkata Knight Riders,BAT,7,98,19.60,158.33,0,-,-,-
Vishnu Vinod,Punjab Kings,WK-BAT,7,98,19.60,158.33,0,-,-,-
Kartik Sharma,Chennai Super Kings,BAT,6,78,15.60,138.50,0,-,-,-
Abishek Porel,Delhi Capitals,WK-BAT,6,78,15.60,152.94,0,-,-,-
Manish Pandey,Kolkata Knight Riders,BAT,6,78,15.60,138.67,0,-,-,-
Himmat Singh,Lucknow Super Giants,BAT,6,78,15.60,148.57,0,-,-,-
Harnoor Pannu,Punjab Kings,BAT,6,78,15.60,148.57,0,-,-,-
Donovan Ferreira,Rajasthan Royals,BAT,6,78,15.60,162.50,0,-,-,-
Aniket Verma,Sunrisers Hyderabad,BAT,6,78,15.60,162.50,0,-,-,-
Tim Seifert,Kolkata Knight Riders,WK-BAT,5,62,15.50,168.47,0,-,-,-
Matthew Breetzke,Lucknow Super Giants,BAT,5,62,15.50,152.94,0,-,-,-
Robin Minz,Mumbai Indians,WK-BAT,6,62,12.40,152.94,0,-,-,-
Urvil Patel,Chennai Super Kings,WK-BAT,4,48,16.00,172.34,0,-,-,-
Sahil Parakh,Delhi Capitals,BAT,5,48,12.00,132.08,0,-,-,-
Akshat Raghuwanshi,Lucknow Super Giants,BAT,5,48,12.00,142.86,0,-,-,-
Mitch Owen,Punjab Kings,BAT,5,48,12.00,168.57,0,-,-,-
Jordan Cox,Royal Challengers Bengaluru,WK-BAT,5,48,12.00,148.57,0,-,-,-
Kumar Kushagra,Gujarat Titans,WK-BAT,5,42,10.50,138.46,0,-,-,-
Tejasvi Singh,Kolkata Knight Riders,BAT,4,42,14.00,148.57,0,-,-,-
Mukul Choudhary,Lucknow Super Giants,BAT,4,42,14.00,138.67,0,-,-,-
Mayank Rawat,Mumbai Indians,BAT,4,42,14.00,148.57,0,-,-,-
Lhuan-Dre Pretorius,Rajasthan Royals,BAT,5,42,10.50,168.00,0,-,-,-
Pyla Avinash,Punjab Kings,BAT,4,32,10.67,138.46,0,-,-,-
Suryansh Shedge,Punjab Kings,BAT,4,32,10.67,138.46,0,-,-,-
Smaran Ravichandran,Sunrisers Hyderabad,BAT,4,32,10.67,138.46,0,-,-,-
Anuj Rawat,Gujarat Titans,WK-BAT,4,28,9.33,121.74,0,-,-,-
Danish Malewar,Mumbai Indians,BAT,4,28,9.33,131.58,0,-,-,-
Ravi Singh,Rajasthan Royals,BAT,3,18,9.00,138.46,0,-,-,-
Salil Arora,Sunrisers Hyderabad,BAT,3,12,6.00,109.09,,-,-,-
